Topic,Paper Title,Authors,Year,Publisher/Journal,Link/DOI
DGA-M (Distributed Genetic Algorithm for Mobile),Distributed Genetic Algorithm for Lifetime Coverage Optimization (DiGALCO) in Wireless Sensor Networks,Idrees & Al-Yaseen,2022/2023,IET Wireless Sensor Systems,https://www.researchgate.net/publication/322035983_Distributed_Genetic_Algorithm_for_Lifetime_Coverage_Optimization_in_Wireless_Sensor_Networks
DGA-M (Distributed Genetic Algorithm for Mobile),Distributed Genetic Algorithm (DGA) to Solve Energy Efficient Coverage Problem in WSN,Wang et al.,2023,Energies,
DGA-M (Distributed Genetic Algorithm for Mobile),Extending WSN Lifetime via Optimized Mobile Sink Trajectories: Linear Programming and Cuckoo Search,Al-Salahat et al.,2025,IoT (MDPI),https://www.researchgate.net/publication/395639012_Extending_WSN_Lifetime_via_Optimized_Mobile_Sink_Trajectories_Linear_Programming_and_Cuckoo_Search_Approaches_with_Overhearing-Aware_Energy_Models
DGA-M (Distributed Genetic Algorithm for Mobile),Cluster-Based Data Aggregation with Genetic Routing Algorithm (CDARGA) in Wireless Sensor Networks,Ramesh et al.,2022,International Journal of Intelligent Systems,https://www.researchgate.net/publication/363860740_CDARGA_Cluster-Based_Data_Aggregation_with_Genetic_Routing_Algorithm_in_Wireless_Sensor_Networks
DGA-M (Distributed Genetic Algorithm for Mobile),Optimization of Healthcare Service Delivery Using Deep Genetic Algorithm (Distributed Framework),Authors Var.,2024,Journal of Healthcare Engineering,https://www.researchgate.net/publication/389799215_Optimization_of_Healthcare_Service_Delivery_Using_Deep_Genetic_Algorithm
CGAPD (Cluster-based GA for Power and Delay),Multi-factor Optimized Mobile Sink Data Collection Framework for Hybrid WSN-LTE Assisted IoT Network,Sivakumar et al.,2024,Heliyon,https://www.researchgate.net/publication/378242584_Multi-factor_optimized_mobile_sink_data_collection_framework_for_hybrid_WSN-LTE_assisted_IoT_network
CGAPD (Cluster-based GA for Power and Delay),Energy-Efficient Genetic Algorithm Variants of PEGASIS (Delay and Power Optimization),Ramlugun et al.,2023,Applied Computing and Informatics,https://www.researchgate.net/publication/334444533_Energy-efficient_Genetic_Algorithm_variants_of_PEGASIS_for_3D_Wireless_Sensor_Networks
CGAPD (Cluster-based GA for Power and Delay),A Genetic Algorithm-Based Energy-Aware Multi-Hop Clustering Scheme for Heterogeneous WSNs (GA-EMC),Muthukkumar et al.,2022,PeerJ Computer Science,https://peerj.com/articles/cs-1029/
CGAPD (Cluster-based GA for Power and Delay),Designing an Energy-Efficient Clustering and Routing Protocol for HWSNs using GA (Sleep Scheduling),Abbas et al.,2025,Preprints / MDPI,https://doi.org/10.20944/preprints202509.0430.v1, https://www.mdpi.com/2673-8732/5/4/50
CGAPD (Cluster-based GA for Power and Delay),Cluster Based Routing Method Using Mobile Sinks in Wireless Sensor Network (Power/Delay Metrics),Various,2022,Wireless Personal Communications,https://www.researchgate.net/publication/357541322_Cluster_Based_Routing_Method_Using_Mobile_Sinks_in_Wireless_Sensor_Network
Heterogeneous WSN with Mobile Sink,Designing an Energy-Efficient Clustering Protocol for Heterogeneous WSNs using Genetic Algorithm,Abbas et al.,2025,Sensors (MDPI),https://www.mdpi.com/2673-8732/5/4/50
Heterogeneous WSN with Mobile Sink,Dynamic Mobile Sink Path Planning for Unsynchronized Data Collection in Heterogeneous WSNs,Zhou et al.,2023,IEEE Sensors Journal,https://www.researchgate.net/publication/372378812_Dynamic_Mobile_Sink_Path_Planning_for_Unsynchronized_Data_Collection_in_Heterogeneous_Wireless_Sensor_Networks
Heterogeneous WSN with Mobile Sink,PSO-based Deployment Framework Tailored for Heterogeneous WSNs,Authors Var.,2024,Scientific Reports,
Heterogeneous WSN with Mobile Sink,Multi-criteria Itinerary Planning for the Mobile Sink in Heterogeneous Wireless Sensor Networks,Almi'ani et al.,2022,Journal of Ambient Intelligence and Humanized Computing,https://www.researchgate.net/publication/357633715_Multi-criteria_itinerary_planning_for_the_mobile_sink_in_heterogeneous_wireless_sensor_networks
Heterogeneous WSN with Mobile Sink,Mobile Sink Path Planning in Heterogeneous IoT Sensors,Hajjej et al.,2022,KSII Transactions on Internet and Information Systems,https://www.researchgate.net/publication/353044446_Mobile_Sink_Path_Planning_in_Heterogeneous_IoT_Sensors_a_Salp_Swarm_Algorithm_Scheme
Genetic Based Algorithms (General),Optimization of WSN using Genetic Algorithm (Review & Novel Method),Alnajjar,2025 (Preprint/Update),Journal of Robotics and Control,https://www.researchgate.net/publication/366877936_Wireless_Sensor_Network_Optimization_Using_Genetic_Algorithm
Genetic Based Algorithms (General),Genetic Algorithm to Optimize Clustering using Mobile LEACH,Bala et al.,2024,Journal of Science Engineering and Technology,https://joset.com.ng/index.php/home/article/view/13
Genetic Based Algorithms (General),Wireless Sensor Network Optimization Using Genetic Algorithm (Crossover focus),Alnajjar,2023,Journal of Robotics and Control,https://www.researchgate.net/publication/366877936_Wireless_Sensor_Network_Optimization_Using_Genetic_Algorithm
Genetic Based Algorithms (General),Genetic Algorithm Based Sink Mobility for Energy Efficient Data Routing,Mishra et al.,2023,Wireless Personal Communications,https://www.researchgate.net/publication/348638286_Genetic_algorithm_based_sink_mobility_for_energy_efficient_data_routing_in_wireless_sensor_networks
Genetic Based Algorithms (General),Enhanced Network Lifetime with EPMS: An Energy-Aware PSO/GA Based Routing Algorithm with Mobile Sink,Dash et al.,2023,Int. J. Intell. Syst. Appl. Eng, https://ijisae.org/index.php/IJISAE/article/view/3450
